Deccan Example Bank Ltd - SAMPLE synthetic statement
Account Holder: RAMESH KUMAR SHARMA
A/C No: XXXXXXXX4821

Txn Date,Narration,Ref No,Withdrawal Amt,Deposit Amt,Balance
05/05/2026,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0526,5000.00,,471916.50
07/05/2026,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0526,2000.00,,469916.50
10/05/2026,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,448576.50
15/05/2026,BILLDESK CREDIT CARD PAYMENT XX9012,BD0526,8400.00,,440176.50
20/05/2026,UPI/DR/KIRANA STORES/GROCERY,UPI0526,3250.00,,436926.50
22/05/2026,ATM WDL SELF KORAMANGALA,ATM0526,5000.00,,431926.50
23/05/2026,BESCOM ELECTRICITY BILL,BBPS0526,1420.00,,430506.50
31/05/2026,PMJJBY PREMIUM RENEWAL,PMJJBY26,436.00,,430070.50
31/05/2026,PMSBY PREMIUM,PMSBY26,20.00,,430050.50
01/06/2026,NEFT CR-DECCAN TOOLS PVT LTD-SALARY JUN26,N260601,,78500.00,508550.50
05/06/2026,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0626,5000.00,,503550.50
07/06/2026,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0626,2000.00,,501550.50
10/06/2026,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,480210.50
15/06/2026,BILLDESK CREDIT CARD PAYMENT XX9012,BD0626,8400.00,,471810.50
20/06/2026,UPI/DR/KIRANA STORES/GROCERY,UPI0626,3250.00,,468560.50
22/06/2026,ATM WDL SELF KORAMANGALA,ATM0626,5000.00,,463560.50
23/06/2026,BESCOM ELECTRICITY BILL,BBPS0626,1420.00,,462140.50
26/06/2026,ACH C- INFOSYS LIMITED FINAL DIV,DIV0626,,846.00,462986.50
30/06/2026,NEFT CR-NANDINI SAHAKARI BANK-FD INT 00231,NSB00231,,6080.00,469066.50
30/06/2026,SB INT CREDIT,INT,,412.00,469478.50
01/07/2026,NEFT CR-DECCAN TOOLS PVT LTD-SALARY JUL26,N260701,,78500.00,547978.50
05/07/2026,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0726,5000.00,,542978.50
07/07/2026,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0726,2000.00,,540978.50
10/07/2026,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,519638.50
15/07/2026,BILLDESK CREDIT CARD PAYMENT XX9012,BD0726,8400.00,,511238.50
20/07/2026,UPI/DR/KIRANA STORES/GROCERY,UPI0726,3250.00,,507988.50
22/07/2026,ATM WDL SELF KORAMANGALA,ATM0726,5000.00,,502988.50
23/07/2026,BESCOM ELECTRICITY BILL,BBPS0726,1420.00,,501568.50
25/07/2026,NPS TRUST CONTRIBUTION PRAN 110045XXXX,NPS0726,2000.00,,499568.50
30/07/2026,ACH C- ITC LIMITED-DIV 2025-26,DIV0726,,1560.00,501128.50
01/08/2026,NEFT CR-DECCAN TOOLS PVT LTD-SALARY AUG26,N260801,,78500.00,579628.50
05/08/2026,ACH D- HDFC MUTUAL FUND-SIP HDFC FLEXI CAP,ACH0826,5000.00,,574628.50
07/08/2026,NACH DR ICCL BSESTARMF SBI MF SIP,ICCL0826,2000.00,,572628.50
10/08/2026,NACH DR LIC HOUSING FIN-HL EMI 00451,HL00451,21340.00,,551288.50
15/08/2026,BILLDESK CREDIT CARD PAYMENT XX9012,BD0826,8400.00,,542888.50
20/08/2026,UPI/DR/KIRANA STORES/GROCERY,UPI0826,3250.00,,539638.50
22/08/2026,ATM WDL SELF KORAMANGALA,ATM0826,5000.00,,534638.50
23/08/2026,BESCOM ELECTRICITY BILL,BBPS0826,1420.00,,533218.50
